location_id,clinic_id,region_id,branch_name,postal_code,address,access,phone,rating,campaign,monthly_price,total_price,feature1,feature2,feature3
sbc_001,1,001,札幌院,060-0004,北海道札幌市中央区北1条西3-3-10 ユニゾイン札幌3階,JR札幌駅南口徒歩3分,0120-031-999,4.7,両ワキ脱毛6回 2500円,月々3000円,全身脱毛5回 244200円,業界最安級の料金設定,全国130院以上展開,経験豊富な医師による施術
rize_001,2,001,札幌院,064-0804,北海道札幌市中央区南三条西4-1-1 ススキノラフィラ6F,市営地下鉄すすきの駅2番出口徒歩1分,0120-966-120,4.5,全身脱毛5回 192000円,月々3700円,全身脱毛5回 192000円,3種類の医療レーザー脱毛機,追加料金一切なし,硬毛化・増毛化保証あり
eminal_001,3,001,札幌院,060-0061,北海道札幌市中央区北1条西3丁目3-33 リープロ札幌4階,JR札幌駅南口徒歩5分,011-206-7790,4.3,全身脱毛5回 68000円,月々1000円,全身脱毛5回 68000円,最短5ヶ月で脱毛完了,痛み軽減技術導入,21時まで診療
tcb_004,6,004,仙台院,980-0021,宮城県仙台市青葉区中央1-6-27 仙信ビル4F,JR仙台駅西口徒歩5分,022-796-1530,4.8,VIO脱毛5回 48000円,月々1700円,全身脱毛5回 98000円,痛みの少ない脱毛機導入,全国55院展開の安心感,夜20時まで診療で通いやすい
rize_004,2,004,仙台院,980-0021,宮城県仙台市青葉区本町2-4-8 510ビル3F,JR仙台駅徒歩3分,0120-966-120,4.6,全身脱毛5回 192000円,月々3700円,全身脱毛5回 192000円,医療レーザー脱毛専門,3種類の脱毛機完備,硬毛化保証付き
eminal_004,3,004,仙台院,980-0811,宮城県仙台市青葉区一番町3-9-13 DATE ONEビル5階,仙台市営地下鉄広瀬通駅徒歩3分,022-738-7750,4.4,全身脱毛5回 68000円,月々1000円,全身脱毛5回 68000円,業界最安級の料金,最短5ヶ月で完了,痛み軽減技術採用
sbc_012,1,012,千葉センシティ院,260-0028,千葉県千葉市中央区新町1000番地 センシティビルディング9階,JR千葉駅東口徒歩1分,0120-955-559,4.6,両ワキ脱毛6回 2500円,月々3000円,全身脱毛5回 244200円,駅直結で通いやすい,豊富な症例実績,安心の全国展開
tcb_012,6,012,千葉院,260-0028,千葉県千葉市中央区新町1-17-2 MF10ビル6F,JR千葉駅東口徒歩2分,043-310-7577,4.5,VIO脱毛5回 48000円,月々1700円,全身脱毛5回 98000円,痛みの少ない脱毛,豊富な割引制度,20時まで診療
eminal_012,3,012,千葉院,260-0015,千葉県千葉市中央区富士見2-3-1 塚本大千葉ビル7階,JR千葉駅東口徒歩5分,043-227-1171,4.3,全身脱毛5回 68000円,月々1000円,全身脱毛5回 68000円,最短5ヶ月完了,コスパ重視の料金,予約の取りやすさ
regina_013,4,013,新宿院,160-0021,東京都新宿区歌舞伎町1-6-1 シロービル6階,JR新宿駅東口徒歩4分,03-6304-5867,4.8,全身脱毛5回 99000円,月々1400円,全身脱毛5回 99000円,追加料金一切なし,平日21時まで診療,完全個室でプライバシー配慮
alicia_013,5,013,新宿東口院,160-0022,東京都新宿区新宿3-13-5 クリハシビル7F,JR新宿駅東口徒歩2分,0120-225-677,4.6,全身脱毛5回 88000円,月々1400円,全身脱毛5回 88000円,初回契約時に4回分予約可能,当日キャンセル無料,最短4ヶ月で完了
sbc_013,1,013,新宿本院,163-1324,東京都新宿区西新宿6-5-1 新宿アイランドタワー24F,JR新宿駅西口徒歩10分,0120-548-991,4.4,両ワキ脱毛6回 2500円,月々3000円,全身脱毛5回 244200円,業界最大手の安心感,豊富な症例数,全国どこでも通院可能
regina_027,4,027,大阪梅田院,530-0002,大阪府大阪市北区曽根崎新地1-4-20 桜橋IMビル12階,JR大阪駅桜橋出口徒歩8分,06-6147-7590,4.7,全身脱毛5回 99000円,月々1400円,全身脱毛5回 99000円,追加料金なしの安心システム,平日21時まで診療,完全個室制
rize_027,2,027,大阪梅田院,530-0001,大阪府大阪市北区梅田2-1-21 レイズウメダビル10F,JR大阪駅中央改札口徒歩7分,0120-966-120,4.5,全身脱毛5回 192000円,月々3700円,全身脱毛5回 192000円,医療レーザー脱毛専門,3種類の脱毛機,コース終了後半額以下
eminal_027,3,027,梅田院,530-0057,大阪府大阪市北区太融寺町5-13 東梅田パークビル6F,阪急梅田駅徒歩3分,06-6315-5707,4.3,全身脱毛5回 68000円,月々1000円,全身脱毛5回 68000円,最短5ヶ月で完了,痛み軽減システム,夜21時まで診療
regina_023,4,023,名古屋院,450-0002,愛知県名古屋市中村区名駅2-45-19 桑山ビル5階,JR名古屋駅桜通口徒歩5分,052-551-4650,4.6,全身脱毛5回 99000円,月々1400円,全身脱毛5回 99000円,追加料金完全無料,平日21時まで診療,女性専用・完全個室
rize_023,2,023,名古屋栄院,460-0008,愛知県名古屋市中区栄3-17-15 エフエックスビル9F,地下鉄栄駅8番出口徒歩3分,0120-966-120,4.4,全身脱毛5回 192000円,月々3700円,全身脱毛5回 192000円,医療レーザー脱毛専門院,3種類の脱毛機完備,コース終了後特別価格
eminal_023,3,023,名古屋院,450-0002,愛知県名古屋市中村区名駅2-45-7 松岡第二ビル3階,JR名古屋駅桜通口徒歩4分,052-583-8637,4.2,全身脱毛5回 68000円,月々1000円,全身脱毛5回 68000円,最短5ヶ月完了,業界最安級の料金,予約が取りやすい