store_id,clinic_name,store_name,Zipcode,adress,access
dio_001,DIO,札幌院,〒060-0004,北海道札幌市中央区北四条西2丁目1-18 邦洋札幌Ｎ4・2ビル 2階,地下鉄さっぽろ駅徒歩1分 JR札幌駅徒歩4分
dio_002,DIO,仙台院,〒980-0021,宮城県仙台市青葉区中央3丁目1-3 aune仙台 4階,仙台駅徒歩3分 あおば通駅徒歩2分
dio_003,DIO,銀座有楽町院,〒100-0006,東京都千代田区有楽町２丁目３−５ AUNE有楽町 ９F,日比谷駅A1出口直結 銀座駅C1出口徒歩2分 有楽町駅銀座口徒歩3分
dio_004,DIO,立川院,〒190-0023,東京都立川市柴崎町2-3-18 粂川第二ビル 4F,立川南駅1番出口から徒歩2分、立川駅南口から徒歩4分
dio_005,DIO,銀座院,〒104-0061,東京都中央区銀座五丁目９番１１号 銀座ファゼンダビル４階,銀座駅A3出口より徒歩2分
dio_006,DIO,上野院,〒110-0015,東京都台東区東上野２丁目１８−６ 常磐ビル 地下1階,各線上野駅より徒歩1分
dio_007,DIO,池袋院,〒170-0013,東京都豊島区東池袋1丁目30−6 セイコーサンシャインビルⅫ 8F,JR池袋駅東口より徒歩5分
dio_008,DIO,新宿院,〒160-0022,東京都新宿区新宿4丁目2-23 新四curumuビル 地下1階,新宿駅南東口より徒歩3分、新宿三丁目駅直通
dio_009,DIO,渋谷院,〒150-0042,東京都渋谷区宇田川町33-1グランド東京渋谷ビル4階,JR渋谷駅ハチ公口より徒歩5分・東京メトロ渋谷駅A2出口より徒歩2分
dio_010,DIO,大宮院,〒330-0802,埼玉県さいたま市大宮区宮町2-28 あじせんビル 5F,大宮駅東口より徒歩5分
dio_011,DIO,横浜院,〒220-0005,"神奈川県横浜市西区南幸2-18-3 LUCID SQUARE Yokohama West2F,3F",JR横浜駅西口より徒歩7分
dio_012,DIO,川崎院,〒210-0007,神奈川県川崎市川崎区駅前本町２６−４ ラウンドクロス川崎 ４Ｆ,JR川崎駅中央東口より徒歩2分
dio_013,DIO,千葉駅前院,〒260-0015,千葉県千葉市中央区富士見2丁目7-4 富士見ハイネスビル 5F,JR千葉駅東口より徒歩5分
dio_014,DIO,名古屋院,〒450-0003,愛知県名古屋市中村区名駅南1丁目16-28EDGE名駅地下1階,各線名古屋駅広小路口 徒歩7分
dio_015,DIO,栄院,〒460-0008,愛知県名古屋市中区栄3-27-1 SAKAE PLACE B1F,矢場町駅徒歩5分 栄駅徒歩9分
dio_016,DIO,京都院,〒600-8021,京都市下京区河原町通四条下ル順風町 305 番地 四条河原町ビル4階,京都河原町駅2番出口から徒歩1分
dio_017,DIO,梅田院,〒530-0014,大阪府大阪市北区鶴野町4番11号 朝日プラザ梅田 1階,大阪梅田駅より徒歩6分 中崎町駅より徒歩6分
dio_018,DIO,神戸三宮院,〒650-0022,兵庫県神戸市中央区元町通1丁目7-1 VEGAビル 5F,元町駅徒歩3分 三宮・神戸三宮駅徒歩11分
dio_019,DIO,天王寺院,〒545-0052,大阪府大阪市阿倍野区阿倍野筋1-5-1 あべのルシアス 15F,天王寺駅14番出口徒歩3分
dio_020,DIO,大阪梅田院,〒530-0057,大阪府大阪市北区曽根崎2-13-17 曽根崎渡辺ビル 3F,大阪駅徒歩7分 東梅田駅徒歩1分
dio_021,DIO,なんば心斎橋院,〒542-0085,大阪府大阪市中央区心斎橋筋 2丁目5-5 Shinsaibashi GATE 8階,なんば駅14番出口から徒歩2分
dio_022,DIO,広島院,〒730-0031,広島県広島市中区紙屋町2-3-20 ソシオスクエア紙屋町ビル 3F,本通駅徒歩2分 紙屋町西駅徒歩4分
dio_023,DIO,福岡天神院,〒810-0001,福岡県福岡市中央区天神二丁目8番22号 Ｇビル天神西通り01 3階,天神駅3番出口徒歩2分
eminal_001,エミナルクリニック,札幌院,〒060-0001,北海道札幌市中央区北1条西3丁目3-11 桂和北1条ビル9階・10階,大通駅7番出口より徒歩5分 または札幌駅前通地下歩行空間9番出口より徒歩1分
eminal_002,エミナルクリニック,旭川院,〒070-0031,北海道旭川市1条通10丁目342-2スペーシア旭川一条通3階,JR旭川駅から徒歩5分
eminal_003,エミナルクリニック,青森院,〒030-0822,青森県青森市中央1丁目25-9AQUA青森中央ビル3階,青森駅 徒歩22分
eminal_004,エミナルクリニック,盛岡院,〒020-0021,岩手県盛岡市中央通1丁目9-11CUBE映画館通りビル2階,JR東北本線 盛岡駅から徒歩13分
eminal_005,エミナルクリニック,仙台院,〒980-0811,宮城県仙台市青葉区一番町3-9-13 DATE ONEビル5階,広瀬通駅徒歩5分
eminal_006,エミナルクリニック,秋田院,郵便番号が見つかりません,秋田県秋田市中通2-4-22Flat秋田1階・2階,JR秋田駅から徒歩5分
eminal_007,エミナルクリニック,郡山院,〒963-8004,福島県郡山市中町7-17 かねいビル1F,JR郡山駅より徒歩5分
eminal_008,エミナルクリニック,水戸院,〒310-0015,茨城県水戸市宮町1丁目7-20ホテルテラスザガーデン水戸1階,JR水戸駅から徒歩すぐ
eminal_009,エミナルクリニック,宇都宮院,〒320-0802,栃木県宇都宮市江野町6-10 天心堂ビル5F,東武宇都宮駅東口徒歩約1分
eminal_010,エミナルクリニック,高崎院,〒370-0828,群馬県高崎市宮元町227高崎ステージビル3階,JR高崎駅から徒歩11分
eminal_011,エミナルクリニック,大宮院,〒330-0845,埼玉県さいたま市大宮区仲町1丁目54-3 ビジョナリーⅢ 5F,JR大宮駅東口より徒歩4分
eminal_012,エミナルクリニック,千葉院,〒260-0015,千葉県千葉市中央区富士見1-14-11 常盤ビル7階,JR千葉駅徒歩5分
eminal_013,エミナルクリニック,船橋院,〒273-0005,千葉県船橋市本町4-2-9 菅野屋船橋ビル3F,東武/JR船橋駅南口より徒歩2分 または京成船橋駅より徒歩5分
eminal_014,エミナルクリニック,新宿西口院,〒160-0023,東京都新宿区西新宿1-4-1 プリンスビル7F,JR新宿駅 徒歩3分
eminal_015,エミナルクリニック,新宿院（施術専門院）,〒160-0022,東京都新宿区新宿3丁目1－16京王新宿追分第二ビル3階,JR「新宿駅」南口徒歩4分
eminal_016,エミナルクリニック,渋谷駅前院,〒150-0043,東京都 渋谷区道玄坂1-3-1 飯島ビル8F,JR渋谷駅ハチ公口から徒歩1分
eminal_017,エミナルクリニック,渋谷院（施術専門院）,〒150-0002,東京都 渋谷区渋谷2丁目22－16 渋谷TRビル5階,JR渋谷駅から徒歩2分
eminal_018,エミナルクリニック,銀座院,〒104-0061,東京都中央区銀座2-8-12 クローバー銀座 8F,銀座駅徒歩3分
eminal_019,エミナルクリニック,池袋院,〒171-0022,東京都豊島区南池袋3-13-10 ISP第3ビル4F,池袋駅東口徒歩5分
eminal_020,エミナルクリニック,池袋東口院,〒171-0022,豊島区南池袋2丁目27-8 第10野萩ビル7階,池袋駅東口徒歩5分
eminal_021,エミナルクリニック,上野院,〒110-0005,東京都台東区上野7丁目3-2 TSDビル6階,JR上野駅より徒歩2分
eminal_022,エミナルクリニック,立川院,〒190-0012,東京都立川市曙町1丁目-14-17籏野ビル5階,立川駅から徒歩4分
eminal_023,エミナルクリニック,町田院,〒194-0013,東京都町田市原町田6丁目7-8 ティップス町田ビル3階,JR横浜線 町田駅徒歩5分
eminal_024,エミナルクリニック,横浜院,〒220-0004,神奈川県横浜市西区北幸1丁目1-8 エキニア横浜7階(707),JR横浜駅より徒歩1分
eminal_025,エミナルクリニック,川崎院,〒210-0006,神奈川県川崎市川崎区砂子2-4-17 Cassia Kawasaki Residence 2階,JR川崎駅から徒歩5分
eminal_026,エミナルクリニック,新潟院,〒950-0088,新潟県新潟市中央区万代1丁目1-26 万代ビル4F,JR新潟駅 徒歩7分
eminal_027,エミナルクリニック,富山院,〒930-0002,富山県富山市新富町2-4-25 カーニープレイス富山3F,JR富山駅 徒歩6分
eminal_028,エミナルクリニック,金沢院,〒920-0853,石川県金沢市本町1丁目5番3号 リファーレ2F,JR金沢駅から徒歩6分
eminal_029,エミナルクリニック,福井院,〒910-0005,福井県福井市大手3丁目4番1号福井放送会館 地下1階,JR福井駅から徒歩5分
eminal_030,エミナルクリニック,長野院,〒380-0825,長野県長野市大字南長野末広町1356 NACS末広3階,長野駅より徒歩2分
eminal_031,エミナルクリニック,岐阜院,〒500-8833,岐阜県岐阜市神田町6丁目12 シグザ神田ビル6階,名鉄岐阜駅より徒歩8分 またはJR岐阜駅より徒歩12分
eminal_032,エミナルクリニック,静岡院,〒420-0031,静岡県静岡市葵区呉服町2丁目8番1号 アイランドプラザビル 3F,JR静岡駅紺屋町地下街K8出口から徒歩2分 または静岡鉄道新静岡駅から徒歩4分
eminal_033,エミナルクリニック,浜松院,〒430-0934,静岡県浜松市中央区千歳町70-1 funビルディング3階,JR浜松駅から徒歩6分
eminal_034,エミナルクリニック,名古屋院,〒450-0002,愛知県名古屋市中村区名駅3丁目20番1号 サンシャイン名駅ビル4F,地下鉄桜通線 国際センター駅1番出口から徒歩1分
eminal_035,エミナルクリニック,豊橋院（施術専門院）,〒440-0881,愛知県豊橋市広小路1-39 豊栄ビルB1F,豊橋鉄道東田本線駅前駅から徒歩で1分
eminal_036,エミナルクリニック,四日市院,〒510-0086,三重県四日市市諏訪栄町10－5 ランドマークアーバンビル2・5階 （※新規カウンセリングは2階）,近鉄四日市駅から徒歩1分
eminal_037,エミナルクリニック,彦根院,〒522-0043,滋賀県彦根市高宮町1320-6 nonoHana南彦根1階,JR南彦根駅から徒歩5分
eminal_038,エミナルクリニック,京都院,〒600-8005,京都府京都市下京区四条通麩屋町西入立売東町28 SAKIZO PLAZA5階,阪急線烏丸駅から徒歩5分
eminal_039,エミナルクリニック,梅田院,〒530-0001,大阪府大阪市北区梅田1丁目12-6 E-MA(イーマ)3階,大阪梅田駅百貨店口から徒歩3分
eminal_040,エミナルクリニック,心斎橋院,〒542-0086,大阪府 大阪市中央区西心斎橋2-1-25 心斎橋W-Place 4F,御堂筋線心斎橋駅より徒歩5分 または四ツ橋線四ツ橋駅より徒歩7分
eminal_041,エミナルクリニック,天王寺院,〒545-0052,大阪府大阪市阿倍野区阿倍野筋1丁目5番10号あべのnini2階,阪堺電気軌道上町線天王寺駅前駅より徒歩2分 またはJR大阪環状線天王寺駅徒歩2分 またはOsaka Metro御堂筋線 天王寺駅 徒歩2分
eminal_042,エミナルクリニック,神戸院,〒651-0086,兵庫県神戸市中央区磯上通7-1-19 プログレス神戸4F,JR三ノ宮駅より徒歩5分 または阪神神戸三宮駅より徒歩6分
eminal_043,エミナルクリニック,姫路院,〒670-0927,兵庫県姫路市駅前町247 御幸苑ビル3階,JR姫路駅から徒歩1分 または山陽電鉄山陽姫路駅から徒歩1分
eminal_044,エミナルクリニック,奈良院,〒630-8241,奈良県奈良市高天町38-3 近鉄高天ビル2F,近鉄奈良駅 徒歩1分
eminal_045,エミナルクリニック,和歌山院,〒640-8331,和歌山県和歌山市美園町5-1-8 山榮ビル2階,和歌山駅徒歩2分
eminal_046,エミナルクリニック,岡山院,〒700-0903,岡山県岡山市北区幸町8－20 AQUAテラス幸町4階・5階,JR岡山駅後楽園口（東口）から徒歩8分
eminal_047,エミナルクリニック,広島院,〒730-0031,広島県広島市中区紙屋町2丁目3-4 広中ビル501,本通駅徒歩3分
eminal_048,エミナルクリニック,山口院,〒754-0043,山口県山口市小郡明治1丁目17番5号SMILE新山口ビルⅡ 2階,新山口駅北口から徒歩5分
eminal_049,エミナルクリニック,徳島院,〒770-0832,徳島県徳島市寺島本町東2-29 徳島電気ビル別館3階,JR徳島駅から徒歩4分
eminal_050,エミナルクリニック,高松院,〒760-0029,香川県高松市丸亀町7-16 丸亀町グリーン2F,瓦町駅徒歩7分
eminal_051,エミナルクリニック,松山院,〒790-0012,愛媛県松山市湊町5-4-25 日切ビル4F,松山市駅 徒歩4分
eminal_052,エミナルクリニック,高知院,〒780-0870,高知県高知市本町2丁目2-29 畑山ビル3階,とさでん交通市内線 大橋通駅 徒歩1分
eminal_053,エミナルクリニック,福岡天神院,〒810-0001,福岡県福岡市中央区天神2丁目7番8号 西天神ビル5階,西鉄福岡天神駅徒歩3分
eminal_054,エミナルクリニック,福岡天神2号院,〒810-0001,福岡県福岡市中央区天神2丁目4-12 天神矢野ビル3階,西鉄福岡天神駅徒歩2分
eminal_055,エミナルクリニック,小倉院,〒802-0006,福岡県北九州市小倉北区魚町2丁目3-20 第30エルザビル3F,平和通り駅から徒歩2分
eminal_056,エミナルクリニック,久留米総合美容外科(連携医療機関),〒830-0039,福岡県久留米市花畑1丁目23－2 西鉄花畑ビル2階 久留米総合美容外科内,西鉄花畑駅徒歩1分
eminal_057,エミナルクリニック,長崎院,〒850-0853,長崎県長崎市浜町3-20 浜町くまビル3階,観光通り電停から徒歩2分 または浜町アーケード電停から徒歩3分
eminal_058,エミナルクリニック,佐世保院,〒857-0875,長崎県佐世保市下京町9-13DKビルⅡ 3階,佐世保中央駅から徒歩6分
eminal_059,エミナルクリニック,大分院,〒870-0035,大分県大分市中央町1-1-20 ニューガイア大分駅前BLDG.7F,JR大分駅徒歩4分
eminal_060,エミナルクリニック,熊本院,〒860-0808,熊本県熊本市中央区手取本町4-17 TETORIHONCHO SAMURAI BLD.7F,通町筋駅から徒歩4分
eminal_061,エミナルクリニック,宮崎院,〒880-0001,宮崎県宮崎市橘通西3-10-36 ニシムラビル4F,宮崎交通バス「橘通り3丁目」バス停より徒歩3分
eminal_062,エミナルクリニック,鹿児島院,〒892-0842,鹿児島県鹿児島市東千石町14-1 巴里屋ビル 8階,天文館通駅徒歩すぐ
eminal_063,エミナルクリニック,那覇院,〒900-0034,沖縄県那覇市東町4-15 幸ビル4階・5階,ゆいレール旭橋駅より徒歩4分 または那覇バス旭橋駅前バス停すぐ
urara_001,ウララクリニック,新宿院,〒160-0022,東京都新宿区新宿3丁目4番8号京王フレンテ新宿3丁目6階,東京メトロ副都心線: 新宿三丁目駅より徒歩1分 JR山手線: 新宿駅より徒歩7分
urara_002,ウララクリニック,銀座院,〒104-0061,東京都中央区銀座2丁目11番8号ラウンドクロス銀座2丁目ビル8階,銀座駅から徒歩5分 銀座一丁目駅から徒歩2分 有楽町駅から徒歩8分 東銀座駅から徒歩1分
lieto_001,リエートクリニック,池袋院,〒171-0022,東京都豊島区南池袋1丁目25-11 第15野萩ビル 9階,JR線「池袋駅」徒歩1分
sbc_001,湘南美容クリニック,札幌院,〒060-0005,北海道札幌市中央区北5条西2-5 JRタワーオフィスプラザさっぽろ13F,-
sbc_002,湘南美容クリニック,札幌大通院,〒064-0821,北海道札幌市中央区北一条西3-3-10 KOKOHOTEL札幌駅前 3階,-
sbc_003,湘南美容クリニック,旭川院,〒070-0031,北海道旭川市一条通7丁目47番地1 プレミスト旭川ザ・タワー 2階,-
sbc_004,湘南美容クリニック,青森院,〒038-0012,青森県青森市柳川一丁目2番3号 青森駅ビル・ラビナ4階,-
